Municipios;Obitos;Longitude;Latitude

Porto Velho;185;-63.831446;-8.768892
Guajará-Mirim;3;-65.323952;-10.773883999999999
Ariquemes;67;-63.033269;-9.908463000000001
Ji-Paraná;13;-61.945094999999995;-10.882050999999999
Cacoal;15;-61.442944;-11.433864999999999
Vilhena;25;-60.138583999999994;-12.741373
Cruzeiro do Sul;9;-72.672531;-7.6306899999999995
Rio Branco;29;-67.810529;-9.978299
Rio Negro AM;1;-49.797684999999994;-26.100407999999998
Juruá;1;-66.06304200000001;-3.4748900000000003
Tefé;2;-64.70841999999999;-3.348372
Coari;5;-63.14218399999999;-4.084219
Manaus;860;-60.023334999999996;-3.134691
Parintins;5;-56.736292000000006;-2.627053
Boa Vista;50;-60.670533;2.816682
Óbidos;37;-55.516324;-1.9092349999999998
Santarém;194;-54.71856999999999;-2.436213
Almeirim;1;-52.576834999999996;-1.527339
Furos de Breves;6;-50.480895000000004;-1.690737
Arari;1;-44.778835;-3.459171
Belém;715;-48.487826;-1.459845
Castanhal;37;-47.926643;-1.295757
Salgado;5;-37.477755;-11.022119
Bragantina;72;-53.744329;-27.619193
Cametá;15;-49.49783;-2.246838
Tomé-Açu;4;-48.146896999999996;-2.419367
Itaituba;7;-55.990049;-4.263729
Altamira;62;-52.214376;-3.20566
Tucuruí;4;-49.667184000000006;-3.766889
Paragominas;6;-47.356962;-2.994191
Parauapebas;14;-49.900781;-6.07273
Marabá;13;-49.142025;-5.352606
Redenção;26;-50.029641999999996;-8.027605
Macapá;18;-51.057404999999996;0.038951
Araguaína;98;-48.208705;-7.191329
Rio Formoso;1;-35.155433;-8.662171
Gurupi TO;23;-49.071477;-11.729772
Porto Nacional;87;-48.412153;-10.70857
Dianópolis;2;-46.820409000000005;-11.625232
São Luís;209;-44.297919;-2.531886
Lençóis MA;13;-41.394031;-12.564063
Imperatriz;209;-47.479811;-5.526524
Codó;11;-43.88608;-4.451338
Caxias;27;-43.358539;-4.861675
Chap.Itapecuru;2;-49.283202;-21.786314
Gerais Balsas;7;-46.038993;-7.5311699999999995
B.Parnaíba PI;5;-41.778171;-2.9033599999999997
Teresina;169;-42.80527;-5.086342
Campo Maior;1;-42.166745;-4.829114
A.Parnaíba PI;1;-41.778171;-2.9033599999999997
Floriano;30;-43.020645;-6.769672
Picos;17;-41.468827000000005;-7.081374
A.M.Canindé;2;-39.310342999999996;-4.3553440000000005
Sobral;589;-40.348667999999996;-3.6880379999999997
Itapipoca;14;-39.583482000000004;-3.499436
Baixo Curu;1;-49.283202;-21.786314
Médio Curu;1;-49.283202;-21.786314
Canindé;28;-39.310342999999996;-4.3553440000000005
Baturité;3;-38.880021;-4.331205000000001
Chorozinho;2;-38.501286;-4.3021709999999995
Cascavel CE;2;-38.239686;-4.131434
Fortaleza;1131;-38.589928;-3.7238050000000005
Pacajus;1;-38.467022;-4.170541
Sertão Cratéus;40;-52.259738;-27.980774
Quixeramobim;144;-39.294354;-5.198405
Sertão Inhamuns;8;-52.259738;-27.980774
Senador Pompeu;6;-39.375325;-5.5893440000000005
Litoral Aracati;7;-37.772753;-4.5670660000000005
Baixo Jaguaribe;39;-38.623005;-5.886458999999999
Médio Jaguaribe;1;-38.623005;-5.886458999999999
Iguatu;40;-39.299906;-6.360555000000001
Várzea Alegre;2;-39.298933;-6.7918460000000005
Lavr.Mangabeira;2;-43.936762;-14.755922
Caririaçu;2;-39.284372;-7.041528
Barro;2;-38.779881;-7.168209
Brejo Santo;10;-42.750848;-3.679178
Mossoró;57;-37.356874;-5.193801000000001
Chap.Apodi;1;-37.797784;-5.6637699999999995
Vale do Açu;1;-36.917922999999995;-5.571946
Pau dos Ferros;7;-38.203262;-6.114732
Macau;1;-36.634972999999995;-5.113368
Seridó Ocid.;80;-36.410764;-6.856909
Seridó Oriental;34;-36.410764;-6.856909
Macaíba;19;-35.355237;-5.8572370000000005
Natal;432;-35.252255;-5.7508989999999995
Catolé do Rocha;2;-37.7485;-6.346753
Cajazeiras;4;-38.56053;-6.890465
Sousa;9;-38.229605;-6.7633779999999994
Patos;16;-37.276913;-7.0244919999999995
Piancó;12;-37.926519;-7.19257
Curimataú Ocid.;2;-54.452434999999994;-29.569391999999997
Esperança;12;-35.858593;-7.020685
Guarabira;47;-35.489965000000005;-6.852714999999999
Campina Grande;156;-35.883859;-7.221497
Itabaiana;7;-35.337533;-7.330932000000001
Sapé;1;-35.230433000000005;-7.087111
João Pessoa;331;-34.873385;-7.149382000000001
Araripina;8;-44.778835;-3.459171
Salgueiro;37;-39.120851;-8.070678
Sertão Moxotó;249;-52.259738;-27.980774
Petrolina;33;-40.499999;-9.397376
Itaparica;2;-38.68403;-12.881489
Vale do Ipojuca;305;-35.063472;-8.396987
Garanhuns;174;-36.49305;-8.888906
Brejo PE;6;-42.750848;-3.679178
Mata Set.PE;22;-54.452434999999994;-29.569391999999997
Vitória S.Antão;3;-40.322209;-20.320154000000002
Mata Merid.PE;94;-54.452434999999994;-29.569391999999997
Recife;2426;-34.888942;-8.062762
Santana Ipanema;3;-51.172846;-0.038373000000000004
Palmeira Índios;30;-50.003246999999995;-25.418568
Arapiraca;41;-36.657297;-9.755907
Maceió;446;-35.70163;-9.660822
Penedo;17;-36.580459999999995;-10.29611
Agr.Itabaiana;50;-35.337533;-7.330932000000001
Agr.Lagarto;38;-37.666353;-10.915301
Propriá;4;-36.842099;-10.208207000000002
Aracaju;296;-37.048213;-10.907216
Estância;18;-37.440011;-11.267949
Barreiras;33;-38.638502;-4.288762
Cotegipe;1;-44.252476;-12.028597
