Municipios;Obitos
11001 Porto Velho;296
11002 Guajará-Mirim;15
11003 Ariquemes;86
11004 Ji-Paraná;84
11005 Alvorada D'Oeste;5
11006 Cacoal;124
11007 Vilhena;91
11008 Colorado Oeste;10
12001 Cruzeiro do Sul;27
12002 Tarauacá;9
12003 Sena Madureira;4
12004 Rio Branco;204
12005 Brasiléia;4
13001 Rio Negro AM;9
13003 Alto Solimões;9
13004 Juruá;3
13005 Tefé;21
13006 Coari;29
13007 Manaus;1364
13008 R.Preto da Eva;1
13009 Itacoatiara;14
13010 Parintins;41
13011 Boca do Acre;3
13013 Madeira;5
14001 Boa Vista;273
14002 Nordeste RR;1
14003 Caracaraí;3
14004 Sudeste RR;4
15001 Óbidos;83
15002 Santarém;319
15003 Almeirim;2
15004 Portel;2
15005 Furos de Breves;50
15006 Arari;12
15007 Belém;1358
15008 Castanhal;95
15009 Salgado;20
15010 Bragantina;126
15011 Cametá;57
15012 Tomé-Açu;30
15013 Guamá;12
15014 Itaituba;19
15015 Altamira;92
15016 Tucuruí;29
15017 Paragominas;53
15018 S.Félix Xingu;22
15019 Parauapebas;68
15020 Marabá;123
15021 Redenção;87
15022 Conc.Araguaia;1
16001 Oiapoque;1
16002 Amapá;1
16003 Macapá;147
16004 Mazagão;16
17001 Bico Papagaio;10
17002 Araguaína;178
17003 Miracema TO;13
17004 Rio Formoso;20
17005 Gurupi TO;88
17006 Porto Nacional;136
17008 Dianópolis;9
21001 Litoral Ocid.MA;18
21002 São Luís;429
21004 Lençóis MA;18
21005 Baixada MA;107
21006 Itapecuru Mirim;17
21007 Gurupi MA;11
21008 Pindaré;83
21009 Imperatriz;332
21010 Médio Mearim;80
21011 A.Mearim/Grajaú;19
21012 Pres. Dutra;94
21014 Chapadinha;7
21015 Codó;142
21016 Coelho Neto;3
21017 Caxias;115
21018 Chap.Itapecuru;15
21020 Gerais Balsas;30
22001 B.Parnaíba PI;75
22002 Litoral PI;164
22003 Teresina;570
22004 Campo Maior;11
22005 M.Parnaíba PI;13
22006 Valença PI;12
22007 A.Parnaíba PI;6
22009 Floriano;85
22011 S.Raim.Nonato;37
22012 Chap.Ext.Sul PI;1
22013 Picos;92
22015 A.M.Canindé;25
23001 Camocim/Acaraú;38
23002 Ibiapaba;103
23003 Coreaú;1
23004 Meruoca;1
23005 Sobral;1018
23006 Ipu;12
23007 Santa Quitéria;19
23008 Itapipoca;156
23009 Baixo Curu;25
23010 Uruburetama;10
23011 Médio Curu;14
23012 Canindé;73
23013 Baturité;50
23014 Chorozinho;18
23015 Cascavel CE;89
23016 Fortaleza;2147
23017 Pacajus;22
23018 Sertão Cratéus;183
23019 Quixeramobim;245
23020 Sertão Inhamuns;63
23021 Senador Pompeu;46
23022 Litoral Aracati;66
23023 Baixo Jaguaribe;240
23024 Médio Jaguaribe;16
23025 Serra Pereiro;13
23026 Iguatu;210
23027 Várzea Alegre;35
23028 Lavr.Mangabeira;10
23029 Chap.Araripe;29
23030 Caririaçu;13
23031 Barro;10
23032 Cariri;648
23033 Brejo Santo;57
24001 Mossoró;190
24002 Chap.Apodi;21
24004 Vale do Açu;37
24006 Pau dos Ferros;73
24007 Umarizal;3
24008 Macau;4
24009 Angicos;1
24010 Serra Santana;4
24011 Seridó Ocid.;185
24012 Seridó Oriental;95
24013 Baixa Verde;15
24014 Borborema RN;20
24015 Agreste RN;44
24016 Litoral NE;2
24017 Macaíba;54
24018 Natal;625
24019 Litoral Sul RN;16
25001 Catolé do Rocha;23
25002 Cajazeiras;157
25003 Sousa;44
25004 Patos;61
25005 Piancó;45
25006 Itaporanga;6
25007 Serra Teixeira;6
25008 Seridó Ocid.PB;8
25009 Seridó Or.PB;25
25010 Cariri Ocid.;44
25011 Cariri Oriental;7
25012 Curimataú Ocid.;8
25014 Esperança;25
25015 Brejo PB;6
25016 Guarabira;102
25017 Campina Grande;486
25018 Itabaiana;34
25019 Umbuzeiro;3
25020 Litoral Norte;106
25021 Sapé;3
25022 João Pessoa;735
26001 Araripina;87
26002 Salgueiro;69
26003 Pajeú;234
26004 Sertão Moxotó;269
26005 Petrolina;71
26006 Itaparica;15
26007 Vale do Ipanema;6
26008 Vale do Ipojuca;553
26009 Alto Capibaribe;47
26010 M.Capibaribe;233
26011 Garanhuns;266
26012 Brejo PE;14
26013 Mata Set.PE;71
26014 Vitória S.Antão;34
26015 Mata Merid.PE;116
26017 Recife;3508
26018 Suape;218
27001 Serr.Sertão AL;1
27002 Sert.S.Franc.AL;2
27003 Santana Ipanema;86
27005 Palmeira Índios;82
27006 Arapiraca;207
27008 Serr.Quilombos;10
27009 Mata AL;10
27011 Maceió;843
27012 S.Miguel Campos;96
27013 Penedo;36
28001 Sert.S.Franc.SE;13
28004 Agr.Itabaiana;144
28006 Agr.Lagarto;117
28007 Propriá;43
28008 Cotinguiba;4
28010 B.Cotinguiba;4
28011 Aracaju;499
28013 Estância;84
29001 Barreiras;116
29002 Cotegipe;20
29003 S Maria Vitória;30
29004 Juazeiro;225
29005 Paulo Afonso;46
29006 Barra;29
29007 B Jesus da Lapa;32
29008 Senhor Bonfim;66
29009 Irecê;104
29010 Jacobina;72
29011 Itaberaba;36
29012 F Santana;281
29013 Jeremoabo;10
29014 Euclides Cunha;47
29015 Ribeira Pombal;99
29016 Serrinha;109
29017 Alagoinhas;61
29018 Entre Rios;19
29019 Catu;53
29020 S Antônio Jesus;142
29021 Salvador;1030
29022 Boquira;26
29023 Seabra;47
29024 Jequié;147
29025 Livr.Brumado;51
29026 Guanambi;143
29027 Brumado;49
29028 Vit.Conquista;225
29029 Itapetinga;106
29030 Valença;35
29031 Ilhéus-Itabuna;278
29032 Porto Seguro;235
31001 Unaí;43
31002 Paracatu;51
31003 Januária;115
31004 Janaúba;150
31005 Salinas;206
31006 Pirapora;76
31007 Montes Claros;441
31008 Grão Mogol;8
31009 Bocaiúva;46
31010 Diamantina;120
31011 Capelinha;48
31012 Araçuaí;78
31013 Pedra Azul;36
31014 Almenara;120
31015 Teófilo Otoni;79
31016 Nanuque;35
31017 Ituiutaba;125
31018 Uberlândia;529
31019 Patrocínio;145
31020 Patos de Minas;288
31021 Frutal;54
31022 Uberaba;296
31023 Araxá;120
31024 Três Marias;75
31025 Curvelo;67
31026 Bom Despacho;78
31027 Sete Lagoas;243
31028 Conc. M. Dentro;16
31029 Pará de Minas;107
31030 B Horizonte;3347
31031 Itabira;221
31032 Itaguara;9
31033 Ouro Preto;58
31034 Cons. Lafaiete;108
31035 Guanhães;51
31036 Peçanha;24
31037 Gov. Valadares;319
31038 Mantena;27
31039 Ipatinga;661
31040 Caratinga;53
31041 Aimorés;95
31042 Piuí;96
31043 Divinópolis;169
31044 Formiga;116
31045 Campo Belo;61
31046 Oliveira;125
31047 Passos;309
31048 S. Seb. Paraíso;296
31049 Alfenas;223
31050 Varginha;396
31051 P. Caldas;325
31052 P. Alegre;162
31053 S Rita Sapucaí;50
31054 S. Lourenço;283
31055 Andrelândia;44
31056 Itajubá;239
31057 Lavras;110
31058 S J del Rei;107
31059 Barbacena;170
31060 Ponte Nova;125
31061 Manhuaçu;144
31062 Viçosa;108
31063 Muriaé;279
31064 Ubá;322
31065 Juiz de Fora;439
31066 Cataguases;258
32001 Barra S.Franc.;5
32002 Nova Venécia;10
32003 Colatina;121
32004 Montanha;3
32005 São Mateus;146
32006 Linhares;195
32007 Afonso Cláudio;78
32008 Santa Teresa;72
32009 Vitória;467
32010 Guarapari;11
32011 Alegre;191
32012 Cach.Itapemirim;250
32013 Itapemirim;117
33001 Itaperuna;382
33002 S.Antônio Pádua;132
33003 Campos Goytac.;461
33004 Macaé;198
33005 Três Rios;56
33006 Cantag/Cordeiro;42
33007 Nova Friburgo;291
33008 S.M.Madalena;27
33009 Bacia de S.João;79
33010 Lagos;211
33011 Vale Paraíba RJ;482
33012 Barra do Piraí;47
33013 Baía I.Grande;190
33014 Vassouras;254
33015 Serrana;317
33016 Macacu-Caceribu;108
33017 Itaguaí;136
33018 Rio de Janeiro;7180
35001 Jales;213
35002 Fernandópolis;162
35003 Votuporanga;117
35004 S.José R.Preto;518
35005 Catanduva;541
35006 Auriflama;10
35007 Nhandeara;52
35008 Novo Horizonte;76
35009 Barretos;131
35010 S.Joaquim Barra;101
35011 Ituverava;132
35012 Franca;417
35013 Jaboticabal;365
35014 Ribeirão Preto;1141
35015 Batatais;121
35016 Andradina;224
35017 Araçatuba;259
35018 Birigui;222
35019 Lins;102
35020 Bauru;529
35021 Jaú;339
35022 Avaré;102
35023 Botucatu;464
35024 Araraquara;418
35025 São Carlos;186
35026 Rio Claro;141
35027 Limeira;361
