Municipios;Obitos
11001 Porto Velho;185
11002 Guajará-Mirim;3
11003 Ariquemes;67
11004 Ji-Paraná;13
11006 Cacoal;15
11007 Vilhena;25
12001 Cruzeiro do Sul;9
12004 Rio Branco;29
13001 Rio Negro AM;1
13003 Alto Solimões;2
13004 Juruá;1
13005 Tefé;2
13006 Coari;5
13007 Manaus;860
13010 Parintins;5
13013 Madeira;1
14001 Boa Vista;50
15001 Óbidos;37
15002 Santarém;194
15003 Almeirim;1
15005 Furos de Breves;6
15006 Arari;1
15007 Belém;715
15008 Castanhal;37
15009 Salgado;5
15010 Bragantina;72
15011 Cametá;15
15012 Tomé-Açu;4
15013 Guamá;3
15014 Itaituba;7
15015 Altamira;62
15016 Tucuruí;4
15017 Paragominas;6
15018 S.Félix Xingu;12
15019 Parauapebas;14
15020 Marabá;13
15021 Redenção;26
16003 Macapá;18
17002 Araguaína;98
17004 Rio Formoso;1
17005 Gurupi TO;23
17006 Porto Nacional;87
17008 Dianópolis;2
21001 Litoral Ocid.MA;8
21002 São Luís;209
21004 Lençóis MA;13
21005 Baixada MA;17
21008 Pindaré;10
21009 Imperatriz;209
21010 Médio Mearim;15
21012 Pres. Dutra;4
21015 Codó;11
21017 Caxias;27
21018 Chap.Itapecuru;2
21020 Gerais Balsas;7
22001 B.Parnaíba PI;5
22002 Litoral PI;64
22003 Teresina;169
22004 Campo Maior;1
22007 A.Parnaíba PI;1
22009 Floriano;30
22011 S.Raim.Nonato;2
22013 Picos;17
22015 A.M.Canindé;2
23005 Sobral;589
23008 Itapipoca;14
23009 Baixo Curu;1
23011 Médio Curu;1
23012 Canindé;28
23013 Baturité;3
23014 Chorozinho;2
23015 Cascavel CE;2
23016 Fortaleza;1131
23017 Pacajus;1
23018 Sertão Cratéus;40
23019 Quixeramobim;144
23020 Sertão Inhamuns;8
23021 Senador Pompeu;6
23022 Litoral Aracati;7
23023 Baixo Jaguaribe;39
23024 Médio Jaguaribe;1
23026 Iguatu;40
23027 Várzea Alegre;2
23028 Lavr.Mangabeira;2
23030 Caririaçu;2
23031 Barro;2
23032 Cariri;353
23033 Brejo Santo;10
24001 Mossoró;57
24002 Chap.Apodi;1
24004 Vale do Açu;1
24006 Pau dos Ferros;7
24008 Macau;1
24011 Seridó Ocid.;80
24012 Seridó Oriental;34
24015 Agreste RN;4
24017 Macaíba;19
24018 Natal;432
25001 Catolé do Rocha;2
25002 Cajazeiras;4
25003 Sousa;9
25004 Patos;16
25005 Piancó;12
25010 Cariri Ocid.;3
25011 Cariri Oriental;1
25012 Curimataú Ocid.;2
25014 Esperança;12
25016 Guarabira;47
25017 Campina Grande;156
25018 Itabaiana;7
25020 Litoral Norte;8
25021 Sapé;1
25022 João Pessoa;331
26001 Araripina;8
26002 Salgueiro;37
26003 Pajeú;166
26004 Sertão Moxotó;249
26005 Petrolina;33
26006 Itaparica;2
26008 Vale do Ipojuca;305
26009 Alto Capibaribe;11
26010 M.Capibaribe;179
26011 Garanhuns;174
26012 Brejo PE;6
26013 Mata Set.PE;22
26014 Vitória S.Antão;3
26015 Mata Merid.PE;94
26017 Recife;2426
26018 Suape;103
27003 Santana Ipanema;3
27005 Palmeira Índios;30
27006 Arapiraca;41
27011 Maceió;446
27012 S.Miguel Campos;55
27013 Penedo;17
28004 Agr.Itabaiana;50
28006 Agr.Lagarto;38
28007 Propriá;4
28011 Aracaju;296
28013 Estância;18
29001 Barreiras;33
29002 Cotegipe;1
29003 S Maria Vitória;1
29004 Juazeiro;78
29005 Paulo Afonso;5
29006 Barra;2
29007 B Jesus da Lapa;3
29008 Senhor Bonfim;21
29009 Irecê;33
